SC_CODE	SC_NAME	SC_GROUP	SC_TYPE	OPEN	HIGH	LOW	CLOSE	LAST	PREVCLOSE	NO_TRADES	NO_OF_SHRS	NET_TURNOV	TDCLOINDI
500820	ASIAN PAINTS	A 	Q	493.75	503.7	492.3	499.85	499.85	490.75	5734	161632	80855697	
500825	BRITANIA IND	A 	Q	924.9	932	916	918.25	918.25	920.4	410	3713	3428244	
500830	COLGATE PALM	A 	Q	1359	1368	1343.35	1361.75	1361.75	1352.85	1159	10652	14497449	
500840	EIH LTD.    	B 	Q	61.95	62.95	59.8	60.25	60.25	62.55	1039	59790	3665380	
500850	INDIAN HOTEL	A 	Q	61.5	62.95	60.75	61.15	61.15	61.65	1198	103649	6388379	
500870	CASTROL     	A 	Q	317.45	317.45	310.35	312.35	312.35	309.75	800	16452	5148321	
500875	ITC LTD.    	A 	Q	323.3	323.5	321.35	322.1	322.1	321.6	3462	119908	38676807	
500877	APOLLO TYRES	A 	Q	107.9	108	104.25	104.85	104.85	107.15	9915	1405799	148286920	
500878	CEAT LIMITED	B 	Q	322.85	336.65	315.75	336.65	336.65	320.65	7269	288642	94585809	
500890	MODI RUBBER 	T 	Q	16.05	17.3	16.05	17.3	17.3	16.55	10	814	13657	
500940	FINOLEX IND.	B 	Q	167.95	176.65	167.4	173.9	173.9	167.55	2525	86675	15052128	
501061	ST.BANK BIKA	B 	Q	319	338	319	332.7	332.7	318.55	2020	31189	10237256	
501179	OSCAR INV.  	B 	Q	170.85	170.85	170.85	170.85	170.85	162.75	1	5	854	
501242	TCI FINANCE 	T 	Q	27.75	27.9	27.75	27.9	27.9	29	7	424	11811	
501301	TATA INVEST.	B 	Q	407	410	405.65	409.15	409.15	406.1	235	2504	1020814	
501343	MOTOR&GEN.FI	B 	Q	41.7	41.7	41.7	41.7	41.7	41.95	2	106	4420	
501370	WALCHAND PF 	B 	Q	37	37.25	37	37.25	37.25	35.5	11	766	28532	
501391	W.H.BRADY   	B 	Q	104	104	104	104	104	104	1	1	104	
501423	SHA ENG PLA 	T 	Q	49	49	49	49	49	49	1	49	2401	
501425	BOM.BURMAH  	B 	Q	115.25	116.9	115.15	115.55	115.55	116.05	386	12388	1438324	
501455	GREAVES COTT	B 	Q	67.45	68	67.2	67.8	67.8	67.1	184	10810	731482	
501700	INDIA NIVEH 	B 	Q	41.55	41.6	41.5	41.55	41.55	41.55	118	4410	183230	
501827	CENTRAL RLY 	B 	Q	64	67.9	64	67.9	67.9	64.95	5	211	13523	
501833	CHOWGULE ST 	B 	Q	11.9	13.01	11.85	11.85	11.85	12.4	15	4585	55833	
501848	GLOBAL OFFS 	B 	Q	112.6	112.7	107	112.7	112.7	107.35	1079	43424	4816405	
501945	DHENUBUILD  	B 	Q	4.6	4.6	4.6	4.6	4.6	4.51	1	1	4	
502090	SAGAR CEM.  	B 	Q	171.45	173.95	171.45	173.95	173.95	170.25	22	27	4634	
502137	DECAN CEMENT	B 	Q	155	159.5	155	155	155	163	36	17611	2734250	
502157	MANGALAM CEM	B 	Q	110.35	116	109.9	113.85	113.85	108.9	1318	28587	3257758	
502165	OCL INDIA L 	B 	Q	167	171.05	167	170.15	170.75	165.95	504	13068	2212848	
